id,status,start_time,away_team_id,home_team_id,winning_team_id,league_name,season,attendance,boxscore.total_away_points,boxscore.total_home_points,boxscore.total_away_firsthalf_points,boxscore.total_home_firsthalf_points,boxscore.total_away_secondhalf_points,boxscore.total_home_secondhalf_points,game_id,ml_away,ml_home,spread_away,spread_home,spread_away_line,spread_home_line,over,under,draw,total,away_total,away_over,away_under,home_total,home_over,home_under,ml_home_public,ml_away_public,spread_home_public,spread_away_public,total_under_public,total_over_public,ml_home_money,ml_away_money,spread_home_money,spread_away_money,total_over_money,total_under_money,num_bets,book_id,type,inserted,home_team,away_team,date_scraped
175355,complete,2023-01-02T16:00:00.000Z,1972,1143,,ligue1,2022,0,1.0,1.0,0.0,1.0,1.0,0.0,175355,450.0,-170.0,0.5,-0.5,130.0,-175.0,-125.0,-100.0,300.0,2.5,0.5,-180.0,135.0,1.0,-294.0,211.0,,,,,,,,,,,,,659.0,15,game,2023-01-02T17:53:57.167587+00:00,OSC Lille,Stade de Reims,2023-02-20 02:01:38.390844
175242,complete,2023-01-02T17:30:00.000Z,1107,2306,2306.0,epl,2022,0,1.0,3.0,0.0,2.0,1.0,1.0,175242,-200.0,495.0,-1.5,1.5,130.0,-180.0,-170.0,132.0,350.0,2.5,1.5,-200.0,138.0,0.5,-190.0,140.0,,,,,28.0,72.0,,,,,44.0,56.0,3903.0,15,game,2023-01-02T17:30:31.747166+00:00,Brentford,Liverpool FC,2023-02-20 02:01:38.390844
180696,complete,2023-01-02T18:00:00.000Z,1146,1149,1146.0,ligue1,2022,0,2.0,1.0,0.0,0.0,2.0,1.0,180696,-160.0,425.0,-0.5,0.5,-175.0,125.0,-140.0,112.0,310.0,2.5,1.5,-160.0,115.0,0.5,-200.0,150.0,,,,,,,,,,,,,760.0,15,game,2023-01-02T18:00:13.970616+00:00,Montpellier Hérault SC,Olympique de Marseille,2023-02-20 02:01:38.390844
180694,complete,2023-01-02T20:00:00.000Z,1152,1154,1154.0,ligue1,2022,0,1.0,2.0,1.0,1.0,0.0,1.0,180694,340.0,-125.0,0.5,-0.5,-105.0,-130.0,100.0,-125.0,260.0,2.5,0.5,-195.0,150.0,0.5,-600.0,390.0,,,,,,,,,,,,,912.0,15,game,2023-01-02T21:56:06.961474+00:00,Stade Rennais FC,OGC Nice,2023-02-20 02:01:38.390844
175237,complete,2023-01-03T19:45:00.000Z,1967,1105,1967.0,epl,2022,0,1.0,0.0,1.0,0.0,0.0,0.0,175237,195.0,130.0,0.5,-0.5,-170.0,125.0,-145.0,115.0,250.0,2.5,1.0,-161.0,124.0,1.5,102.0,-125.0,48.0,52.0,67.0,33.0,41.0,59.0,,,,,55.0,45.0,4714.0,15,game,2023-01-03T22:09:38.94192+00:00,Leicester City FC,Fulham,2023-02-20 02:01:42.750506
175239,complete,2023-01-03T19:45:00.000Z,1363,1104,1363.0,epl,2022,0,4.0,1.0,1.0,0.0,3.0,0.0,175239,135.0,210.0,-0.5,0.5,127.0,-170.0,110.0,-135.0,227.0,2.5,1.0,-154.0,120.0,0.5,-257.0,192.0,31.0,69.0,,,23.0,77.0,,,,,56.0,44.0,3143.0,15,game,2023-01-03T22:09:38.774101+00:00,Everton FC,Brighton & Hove Albion,2023-02-20 02:01:42.750506
175244,complete,2023-01-03T19:45:00.000Z,1364,1099,,epl,2022,0,0.0,0.0,0.0,0.0,0.0,0.0,175244,375.0,-135.0,0.5,-0.5,107.0,-142.0,-120.0,-110.0,277.0,2.5,0.5,-202.0,152.0,1.0,-250.0,183.0,,,,,24.0,76.0,,,,,85.0,15.0,7502.0,15,game,2023-01-03T22:09:28.46848+00:00,Arsenal FC,Newcastle United,2023-02-20 02:01:42.750506
175236,complete,2023-01-03T20:00:00.000Z,1100,1109,1109.0,epl,2022,73322,0.0,3.0,0.0,1.0,0.0,1.0,175236,1000.0,-372.0,1.5,-1.5,-105.0,-125.0,140.0,-175.0,482.0,3.5,0.5,-115.0,-115.0,2.5,110.0,-140.0,,,,,53.0,47.0,,,,,,,3751.0,15,game,2023-01-03T22:09:39.068451+00:00,Manchester United FC,AFC Bournemouth,2023-02-20 02:01:42.750506
175306,complete,2023-01-04T11:30:00.000Z,1193,1194,1193.0,seriea,2022,0,2.0,1.0,2.0,0.0,0.0,1.0,175306,380.0,-150.0,0.5,-0.5,110.0,-150.0,-118.0,-105.0,280.0,2.5,0.5,-195.0,150.0,0.5,-750.0,450.0,,,,,,,,,,,,,506.0,15,game,2023-01-04T13:32:12.125341+00:00,US Sassuolo Calcio,UC Sampdoria,2023-02-20 02:01:45.718540
175307,complete,2023-01-04T11:30:00.000Z,1188,2340,1188.0,seriea,2022,0,2.0,1.0,2.0,0.0,0.0,1.0,175307,-282.0,700.0,-1.5,1.5,-100.0,-135.0,-153.0,125.0,375.0,2.5,0.5,-1600.0,700.0,0.5,-135.0,105.0,,,,,,,,,,,,,1267.0,15,game,2023-01-04T13:32:11.762249+00:00,Salernitana,AC Milan,2023-02-20 02:01:45.718540
